item_id,name,item_type,parent_id,file_path,file_size,created_at,created_by
1,VIC Leden,folder,,,,2025-12-05 16:49:43.118592+00,1
2,Leerpaden & materiaal,folder,1,,,2025-12-05 16:49:43.118592+00,1
3,Leerpaden,folder,2,,,2025-12-05 16:49:43.118592+00,1
4,Carrière- en Sectorinformatie,folder,3,,,2025-12-05 16:49:43.118592+00,1
5,Leerpaden & Tools,folder,3,,,2025-12-05 16:49:43.118592+00,1
6,Advanced Investment Leerpad.docx,file,5,VIC Leden/Leerpaden & materiaal/Leerpaden/Leerpaden & Tools/Advanced Investment Leerpad.docx,42761,2025-12-05 16:49:43.118592+00,1
7,Financiële Ratio's,folder,5,,,2025-12-05 16:49:43.118592+00,1
8,Analysis_RatioCalc_VIC.xlsx,file,7,VIC Leden\Leerpaden & materiaal\Leerpaden\Leerpaden & Tools\Financiële Ratio's\Analysis_RatioCalc_VIC.xlsx,24972,2025-12-05 16:49:43.118592+00,1
9,Fin_metrics_excel.xlsx,file,7,VIC Leden\Leerpaden & materiaal\Leerpaden\Leerpaden & Tools\Financiële Ratio's\Fin_metrics_excel.xlsx,9944,2025-12-05 16:49:43.118592+00,1
10,Gratis Tools Investeringclub.docx,file,5,VIC Leden/Leerpaden & materiaal/Leerpaden/Leerpaden & Tools/Gratis Tools Investeringclub.docx,89334,2025-12-05 16:49:43.118592+00,1
11,interessante filmpjes en links.docx,file,5,VIC Leden/Leerpaden & materiaal/Leerpaden/Leerpaden & Tools/interessante filmpjes en links.docx,16412,2025-12-05 16:49:43.118592+00,1
12,Interne_Workshop_1.pptx,file,5,VIC Leden/Leerpaden & materiaal/Leerpaden/Leerpaden & Tools/Interne_Workshop_1.pptx,2435719,2025-12-05 16:49:43.118592+00,1
13,PE_evaluator.xlsx,file,5,VIC Leden/Leerpaden & materiaal/Leerpaden/Leerpaden & Tools/PE_evaluator.xlsx,17976,2025-12-05 16:49:43.118592+00,1
14,Valuation Leerpad.docx,file,5,VIC Leden/Leerpaden & materiaal/Leerpaden/Leerpaden & Tools/Valuation Leerpad.docx,432821,2025-12-05 16:49:43.118592+00,1
15,Start2Invest,folder,3,,,2025-12-05 16:49:43.118592+00,1
16,Financial Statements School - Brian Feroldi.docx,file,15,VIC Leden/Leerpaden & materiaal/Leerpaden/Start2Invest/Financial Statements School - Brian Feroldi.docx,1602352,2025-12-05 16:49:43.118592+00,1
17,Hoe een bedrijf analyseren.docx,file,15,VIC Leden/Leerpaden & materiaal/Leerpaden/Start2Invest/Hoe een bedrijf analyseren.docx,370476,2025-12-05 16:49:43.118592+00,1
