pos_id,pos_name,pos_type,pos_quantity,portfolio_id,pos_ticker,pos_sector,pos_value,current_price,day_change_pct
0,Cash,Cash,,1,,,8147.52,,
1,Adyen NV,Stock,1,1,ADYEN.AS,Tech,1316.6,1352,1.364522417154
2,ALPHABET INC,Stock,7,1,GOOG,Tech,1616.97,308.45,-0.666623727940227
3,BERKSHIRE HATHAWAY INC.,Stock,8,1,BRK-B,"RE, F. & Hold.",3003.04,504.675,1.03199071108265
4,ELI LILLY AND COMPANY,Stock,1,1,LLY,Cons. & Health,821.04,1061.089,3.26799739175287
5,Evolution AB (publ),Stock,17,1,EVO.ST,Cons. & Health,1462.17,58.1293065532913,0.858505564387913
6,Evs Broadcast Equipment SA,Stock,30,1,EVS.BR,Tech,990,35.35,1.14449213161659
7,Haier Smart Home Co Ltd H,Stock,50,1,600690.SS,Cons. & Health,137.5,3.30377850792424,1.52190051967335
8,iShares MSCI India UCITS ETF,ETF,110,1,NDIA.AS,ETF,858,8.2031,0.114722286634846
10,LVMH Moet Hennessy Louis Vuitton SE,Stock,2,1,MC.PA,Cons. & Health,1405.8,626.1,0.256204963971181
11,MICROSOFT CORPORATION,Stock,3,1,MSFT,Tech,511.02,473.83,-0.982174576306603
12,Novo Nordisk A/S,Stock,20,1,NVO,Cons. & Health,1379.4,50.44,0.518134715025903
13,Pluxee NV,Stock,50,1,PLX.PA,Cons. & Health,1300,13.33,-0.224550898203588
14,Puig Brands SA,Stock,65,1,PUIG.MC,Cons. & Health,1452.1,15.06,0
15,Recticel NV,Stock,110,1,RECT.BR,"Ind., E. & R.M.",1346.4,9.76,0.514933058702358
16,Sofina SA,Stock,6,1,SOF.BR,"RE, F. & Hold.",1476.84,241,1.17548278757347
17,VFDefenseUCITSE TFUSDA,ETF,50,1,DFEN,ETF,1423.5,60.25,0.416666666666667
18,"WASTE MANAGEMENT, INC.",Stock,7,1,WM,"Ind., E. & R.M.",895.65,218.175,1.18964797551134
19,XFA Silicon Gardens Europ.,Stock,170,1,XFAB.PA,Tech,1052.3,5.26,-0.28436018957347
20,Xior Student Housing NV,Stock,45,1,XIOR.BR,"RE, F. & Hold.",1283.85,28,0
