transaction_id,transaction_date,transaction_quantity,transaction_type,sector,asset_class,transaction_amount,transaction_ticker,transaction_currency,transaction_share_price,asset_name,asset_type
150,2022-09-01 00:00:00+00,4,BUY,Cons. & Health,Stock,518.88,VOW3,EUR,129.72,Volkswagen AG,Stock
151,2022-09-01 00:00:00+00,25,BUY,"RE, F. & Hold.",Stock,619.5,WDP,EUR,24.78,Warehouses de Pauw NV,Stock
153,2022-09-01 00:00:00+00,14,BUY,Tech,Stock,601.44,SOF,EUR,42.96,Sofina SA,Stock
154,2022-09-01 00:00:00+00,20,BUY,Tech,Stock,1171.8,AMD,USD,58.59,"ADVANCED MICRO DEVICES, INC.",Stock
155,2022-09-01 00:00:00+00,3,BUY,Tech,Stock,728.4,MSFT,USD,242.8,MICROSOFT CORPORATION,Stock
156,2022-09-01 00:00:00+00,6,BUY,Cons. & Health,Stock,614.16,DIS,USD,102.36,THE WALT DISNEY COMPANY,Stock
157,2022-09-01 00:00:00+00,125,BUY,Tech,Stock,90,PKK,CAD,0.72,Tenet Fintech Group Inc.,Stock
158,2022-09-01 00:00:00+00,20,BUY,Tech,Stock,106.2,XFAB,EUR,5.31,Fab-Silicon Foundries Europese Vennootschap,Stock
159,2022-09-01 00:00:00+00,7,BUY,Tech,Stock,460.25,BABA,USD,65.75,Alibaba Group Holding Limited,Stock
161,2022-10-24 00:00:00+00,4,BUY,Tech,Stock,1233.72,ADBE,USD,308.43,ADOBE INC.,Stock
162,2022-10-24 00:00:00+00,3,BUY,Cons. & Health,Stock,389.16,VOW3,EUR,129.72,Volkswagen AG,Stock
163,2022-11-04 00:00:00+00,1,BUY,Tech,Stock,1316.6,ADYEN,EUR,1316.6,Adyen NV,Stock
164,2022-11-04 00:00:00+00,8,BUY,"Ind., E. & R.M.",Stock,1048.48,SU,EUR,131.06,Schneider Electric SE,Stock
165,2022-11-04 00:00:00+00,18,BUY,"Ind., E. & R.M.",Stock,873.9,WM,USD,48.55,"WASTE MANAGEMENT, INC.",Stock
166,2022-11-25 00:00:00+00,150,BUY,Tech,Stock,945,XFAB,EUR,6.3,X-Fab Silicon Foundries Europese Vennootschap,Stock
167,2022-11-25 00:00:00+00,20,BUY,"RE, F. & Hold.",Stock,610,XIOR,EUR,30.5,Xior Student Housing NV,Stock
168,2022-12-09 00:00:00+00,10,BUY,"RE, F. & Hold.",Stock,282.5,XIOR,EUR,28.25,Xior Student Housing NV,Stock
169,2022-12-22 00:00:00+00,40,BUY,Tech,Stock,800,AEHR,USD,20,AEHR TEST SYSTEMS,Stock
170,2022-12-21 00:00:00+00,10,SELL,Tech,Stock,666.4,AMD,USD,66.64,"ADVANCED MICRO DEVICES, INC.",Stock
171,2023-02-21 00:00:00+00,14,SELL,Tech,Stock,977.76,PRX,EUR,69.84,Prosus NV,Stock
172,2023-03-24 00:00:00+00,30,BUY,"Ind., E. & R.M.",Stock,869.4,SU,USD,28.98,SUNCOR ENERGY INC.,Stock
